Date,AMZN_Close,GOOGL_Close,MSFT_Close,NVDA_Close,TSLA_Close,AMZN_High,GOOGL_High,MSFT_High,NVDA_High,TSLA_High,AMZN_Low,GOOGL_Low,MSFT_Low,NVDA_Low,TSLA_Low,AMZN_Open,GOOGL_Open,MSFT_Open,NVDA_Open,TSLA_Open,AMZN_Volume,GOOGL_Volume,MSFT_Volume,NVDA_Volume,TSLA_Volume
1/3/23,85.81999969482422,88.69594574,235.24000549316406,14.303279876708984,108.0999984741211,86.95999908447266,90.61676258298985,241.29823402669174,14.983723050318702,118.80000305175781,84.20999908447266,88.09879462707987,233.09948844422817,14.084459309432459,104.63999938964844,85.45999908447266,89.16370297479997,238.67660292589414,14.838841304566728,118.47000122070312,76706000,28131200,25740000,401277000,231402800
1/4/23,85.13999938964844,87.66090393066406,224.94989013671875,14.736923217773438,113.63999938964844,86.98000336,90.21867518028262,228.65158630367102,14.840838154777497,114.58999633789062,83.36000061035156,86.85475287,221.86677141601638,14.229339743985019,107.5199966430664,86.55000305175781,89.92009958818068,228.07227767052504,14.555073030909787,109.11000061035156,68885100,34854800,50623400,431324000,180389000
1/5/23,83.12000274658203,85.78984069824219,218.28285217285156,14.253320693969727,110.33999633789062,85.41999816894531,87.15332471,223.42793497169325,14.552075670491968,111.75,83.06999969482422,85.49127271,217.74281242583197,14.136415909839469,107.16000366210938,85.33000183105469,87.05380204485257,223.0842692283964,14.479135485903637,110.51000213623047,67930800,27194400,39585600,389168000,157986300
1/6/23,86.08000183105469,86.92440795898438,220.85540771484375,14.84683609008789,113.05999755859375,86.40000153,87.27274863,221.67037414337992,14.997712498886653,114.38999938964844,81.43000030517578,84.45621275179472,215.3765021,14.022511655556116,101.80999755859375,83.02999877929688,86.37702957023193,218.96037666884743,14.462151036341861,103,83303400,41381500,43613600,405044000,220911100
1/9/23,87.36000061035156,87.60118103027344,223.00575256347656,15.615204811096191,119.7699966430664,89.48000336,89.62152828865293,227.05112960740402,16.042853882336043,123.5199966430664,87.08000183105469,87.44194628861791,222.3086224905755,15.128603078053724,117.11000061035156,87.45999908447266,87.93956719506664,222.34789130469701,15.271486598821125,118.95999908447266,65266100,29003900,27369800,504231000,190284000
1/10/23,89.87000274658203,87.99928283691406,224.70440673828125,15.895975112915039,118.8499984741211,90.19000244140625,88.24809330021212,227.11983564696362,15.94893121673774,122.76000213623047,87.29000091552734,85.42161008183072,223.21193722037137,15.459332626456098,114.91999816894531,87.56999969482422,85.57089787842811,223.63414061358225,15.494303818205713,121.06999969482422,67756600,30467800,27033900,384101000,167642500
1/11/23,95.08999633789062,91.08452606201172,231.49903869628906,15.987899780273438,123.22000122070312,95.26000213623047,91.16414723,231.67577081089505,16.0148781,125.94999694824219,90.93000030517578,88.58647461468658,226.92345084138603,15.550258635785255,120.51000213623047,90.93000030517578,88.75566389809731,227.100183,15.827032288803178,122.08999633789062,103126200,26862000,28669300,353285000,183810800
1/12/23,95.26999664,90.69638824,234.1894073486328,16.497482299804688,123.55999755859375,97.19000244140625,91.43287269029972,235.55422702400872,16.62337859607864,124.12999725341797,93.5,89.32295720715761,229.32907915113603,15.479316490900496,117,96.93000030517578,91.04472897,230.99828080713587,16.086819482461305,122.55999755859375,85254800,30258100,27269500,551409000,169400900
1/13/23,98.12000274658203,91.68167114257812,234.8963623046875,16.88516616821289,122.4000015258789,98.37000274658203,91.75133776013793,235.0338256158968,16.908148056338185,122.62999725341797,94.12000274658203,89.70113462763581,230.6644400284827,16.15176778844737,115.5999984741211,94.18000030517578,90.41770989001778,232.7067627824332,16.264674246702192,116.55000305175781,85549400,26329200,21333300,447287000,180714100
1/17/23,96.05000305175781,90.85562133789062,235.9960938,17.68750572,131.49000549316406,98.88999938964844,91.81105251796343,236.54594701807417,17.713485409677194,131.6999969482422,95.73000336,89.62152368,232.79513868140307,16.885163700930974,125.0199966430664,98.68000030517578,91.62195415344863,233.65920237830696,16.885163700930974,125.69999694824219,72755000,32602400,29831300,511102000,186477000
